Nombre,N°,Rareza,Tipo,Supertipo,Subtipo,Senda,Coste,FUE,RES,Arte,Habilidades,Texto de ambientación
Vampiro sangrerabia,29,I,Aliado,,Vampiro,Caos,3,1,2,Sergio Tarquini - Germán Nóbile,"{2}: El vampiro objetivo tiene la habilidad de furia hasta el final del turno.","""No hay criatura más hermosa que un adolescente vampiro: violento, espontáneo y creativo."" -Ubanna"
Anhelo de Fáradt,30,R,Ritual,Instantáneo,,Locura,2,,,Damián Graff,El aliado objetivo que controlas obtiene +3 FUE hasta el final del turno. Si no hay Thanatos ese aliado obtiene -3 RES hasta el final del turno.,"Fáradt deseó el arte del desarrollo. Ubanna la despojó de sus actualizaciones."
Aura demencial,31,I,Ritual,Instantáneo,,Locura,0,,,Verónica Vallejos,Hay Thanatos hasta el final del turno.{2}: Pon Aura demencial de tu inferno en tu mano.,"""Mi presencia es absoluta. No hay lugar en este mundo que no me pertenezca."" -Ubanna"
Bibliotecarios estimulados,32,C,Aliado,,Humano,Locura,4,2,5,Manuela Mauregui,"{1}, girar: Mira la carta superior de tu mazo, si hay Thanatos, puedes ponerla en la parte inferior de tu mazo.",Devorar un libro de forma literal.
Borrapensamientos,33,I,Objeto,,,Locura,3,,,Alejandro Machado - Nicolás Fernández,"Girar, descartar una carta: El demonio objetivo descarta una carta.",El procedimiento de censura más popular en Jemo.
Caminante hojaperezosa,34,C,Aliado,,Vampiro,Locura,2,2,1,Juan Manuel Tumburus,Thanatos. Vínculo {0} - El aliado objetivo obtiene -3 FUE hasta el final del turno.,"""Los vampiros aprenden rápidamente a moverse en nuestro mundo. Ya nada nos pertenece."" - Caminante solitario"
Cuerno de la soberbia,35,R,Objeto,,,Locura,4,,,Brian Miroglio - Nicolás Fernández,Los demonios pueden jugar sólo una carta por turno.,El tiempo se detiene a su alrededor.
Cyborg de infiltración,36,I,Aliado,,Cyborg,Locura,5,3,4,Fernando Heinz Furukawa - Rocio Zucchi,"Protector. Cuando Cyborg de infiltración sea puesto en un inferno desde el juego, toma una carta.","""Siempre es bueno rodearse de asesores, alguien debe procurar pensar dónde asestar el golpe letal."" - Ubanna"
Cyborg espía,37,R,Aliado,,Cyborg,Locura,2,2,1,Verónica Vallejos,Halo. Evasivo.,No existe su registro en la biblioteca del éter o en la red.
Cyborg hambriento,38,C,Aliado,,Cyborg Vampiro,Locura,1,1,1,"Lizzo",,
Esfera preventiva,39,C,Ritual,Instantáneo,,Locura,2,,,Guillermo Villarreal,"Toma una carta. Si hay Thanatos, el aliado objetivo obtiene halo hasta el final del turno.",
Ghoul corajedemencia,40,C,Aliado,,Ghoul,Locura,3,2,4,Germán Nóbile,"Agresor. Si no hay Thanatos, destruye Ghoul corajedemencia.",Guardián del refugio científico.
Grilletes de plata,41,I,Objeto,,,Locura,4,,,Brian Miroglio - Ignacio Segesso,Destruir Grilletes de plata: Gana el control del vampiro objetivo.,
Guardia de Jemo,42,E,Aliado,Instantáneo,Cyborg,Locura,3,2,2,Luciano Fleitas,Tu demonio obtiene halo si esta en su lado terrenal.,"""¡Cyborgs! ¡Nuestra ciudad cae hacia la perdición! ¡Pero no dejaremos este mundo sin dar batalla! ¡Este es el momento donde debemos dar todo por salvar nuestra ciudad! ¡TODO!! - Viden"
Interrumpir,43,I,Ritual,Instantáneo,,Locura,1,,,Gastón Zubeldia,Cancela el ritual objetivo.,"""¿Querías decir algo? Ya me parecía."" - Ubanna"
Investigación nociva,44,C,Ritual,,,Locura,1,,,Felipe Araya,"Toma 2 cartas. Luego, descarta tres cartas.","""El cerebro humano tiene capacidad limitada."" -Mímire "
Mausoleo oculto,45,R,Escenario,,,Locura,0,,,Santiago Calleriza,Los vampiros tienen la habilidad de halo.,La tumba del rey se abrió; esperando esta vez no volver a cerrarse.
Módulo de distracción,46,R,Arma,,,Locura,2,0,2,Guillermo Villarreal,"Siempre que el aliado equipado sea objetivo de un ritual, puedes destruir Módulo de distracción. Si lo haces, cancela ese ritual.",
Moldear el tiempo,47,E,Ritual,Instantáneo,,Locura,4,,,"Luciano Comizzo",El demonio objetivo baraja su mano en su mazo y luego toma esa misma cantidad de cartas.,"""No, tu reloj funciona correctamente. Es el propio tiempo el que no funciona en este lugar. Ya no estás en la Tierra. Has cruzado el portal"" - Urmenob"
Rechazar la demencia,48,C,Ritual,Instantáneo,,Locura,1,,,Alejandro Machado - Nicolás Fernández,No hay Thanatos hasta el final del turno.,"""Drenaremos hasta la última gota de esta pestilencia... ¿Y si el recipiente muere? Buena pregunta, pero ya estaba muerto de cualquier manera."" -Ingeniero médico"
Remover pensamientos,49,C,Ritual,,,Locura,3,,,Edgard Machiavello,"Mira la mano del demonio objetivo y elige una carta. Luego, ese demonio exilia esa carta.","""El demonio, perdiendo la razón, inundaba la red neural con pensamientos inconexos e incomprensibles."" Fragmento de Efe, pionero de la rebelión"
Revelación mortal,50,C,Ritual,Instantáneo,,Locura,2,,,Adrián Kim,Cancela el vampiro objetivo.,
Toque de Fáradt,51,C,Ritual,Instantáneo,,Locura,2,,,Esteban Campos Millapel,Gira el aliado objetivo. Recobrar {1}.,
Torre cyborg,52,C,Aliado,,Cyborg,Locura,4,1,8,Paulo Barrios,,
Vampiro intocable,53,C,Aliado,,Vampiro,Locura,3,2,2,"Lizzo",Thanatos. Halo.,
Vampiro sangrejuicio,54,I,Aliado,,Vampiro,Locura,3,1,2,Brian Miroglio - Franco Riesco,{2}: El vampiro objetivo tiene la habilidad de halo hasta el final del turno.,"El secreto de la inmortalidad, en un dulce néctar carmesí."
Agilidad,55,I,Ritual,Instantáneo,,Muerte,3,,,Fernando Heinz Furukawa - Rocio Zucchi,Endereza el aliado objetivo.,
Agotar,56,C,Ritual,Instantáneo,,Muerte,2,,,Gastón Zubeldia,El aliado objetivo obtiene -4 FUE hasta el final del turno. Recobrar {1}.,"""Quieto y obediente. ¿No te ves más lindo así? -Ubanna"
Altar de sangre eterna,57,R,Objeto,,,Muerte,5,,,Santiago Calleriza,"Siempre que un vampiro que controles sea puesto en tu inferno desde el juego, si hay Thanatos, puedes pagar {1}. Si lo haces, pon esa carta en tu mano.","Mientras uno prevalezca, miles vivirán."
Ampolla sangreveneno,58,I,Objeto,,,Muerte,3,,,Alejandro Machado - Nicolás Fernández,"Thanatos. Cuando Ampolla sangreveneno entre en juego, destruye el aliado objetivo que no sea vampiro.","""La sangre vampírica resultó ser un magnífico veneno. Aunque deja una bruma apestosa."" - Sacerdote técnico"
Anhelo de Unwaj,59,R,Ritual,Instantáneo,,Muerte,1,,,Gonzalo Ordoñez,"Tu demonio hace 2 puntos de daño al aliado o demonio objetivo. Si no hay Thanatos, pon las dos primeras cartas de tu mazo en tu inferno.",Unwaj deseó el arte de la putrefacción. Ubanna la instruyó en carne propia.
Asfixia demencial,60,C,Ritual,,,Muerte,4,,,Brian Miroglio - Franco Riesco,"Toma una carta. Si hay Thanatos, destruye el aliado objetivo.","Cuentan los caminantes, que la presencia de Unwaj liberaba una peste capaz de matar a cualquier curioso."
Caminante abusivo,61,C,Aliado,,Vampiro,Muerte,3,2,2,Edgard Machiavello,"Thanatos. Vínculo {0} - El aliado objetivo obtiene -1 RES hasta el final del turno.",
Derribar,62,C,Ritual,,,Muerte,1,,,Tomás Aira,Cada enemigo exilia las primeras 4 cartas de su inferno.,El grito de Ubanna se escuchó en cada rincón del Inferno.
Desangrar,63,C,Ritual,,,Muerte,1,,,Emmanuel Bou,Destruye el aliado objetivo si su RES es igual o menor al número de cartas en tu inferno.,Hasta la última gota.
Diablo apilacuerpos,64,I,Aliado,,Diablo,Muerte,4,3,3,"Lizzo",Golpe de gracia - Tu demonio obtiene +1 FUE hasta el final del turno.,"Un nuevo cadáver cada día, para decorar su caverna."
Diablo gigante,65,C,Aliado,,Diablo,Muerte,5,5,5,Damián Graff,,
Diablo hambriento,66,C,Aliado,,Diablo Vampiro,Muerte,1,1,1,Rodolfo Buscaglia - Franco Riesco,,
Estaca centenaria,67,R,Arma,,,Muerte,2,1,1,Alejandro Machado - Nicolás Fernández,Golpe de gracia - Pon un contador de daño sobre el aliado objetivo.,"La estaca busca alimento, sin importar su origen."
Faro de tormento,68,C,Objeto,,,Muerte,2,,,Felipe Araya,Destruir Faro de tormento: No hay Thanatos hasta el final del turno.,El único faro que extrae luz en vez de proveerla.
Ghoul rabiademencia,69,C,Aliado,,Ghoul,Muerte,3,2,3,Germán Nóbile,"Furia. Si no hay Thanatos, destruye Ghoul rabiademencia.","""Los monjes no tuvieron tiempo de reaccionar. El antíguo rito se vio interrumpido. El silencio es ahora dueño de la antígua capilla."" - Caminante de la abadía"
Gruwek,70,E,Aliado,,Abominación,Muerte,3,2,1,Carlos Cabrera,Exilia las dos primeras cartas de tu inferno: Gruwek obtiene +1 FUE hasta el final del turno. Exilia la primera carta de tu mazo: Pon Gruwek en tu mano.,"No existe un cuento de terror infantil, sin un Gruwek como protagonista."
Monumento de batalla,71,E,Objeto,,,Muerte,4,,,Hans Lobos,"Siempre que un aliado que controles ataque, tu demonio obtiene +1 FUE hasta el final del turno.","Los cadáveres acumulados alrededor, recuerdan la cruel matanza."
Pantano perdido,72,R,Escenario,,,Muerte,0,,,Nicolás Fernández,Los vampiros tienen la habilidad de evasivo.,"""No parece la mejor de las ideas hermano. Dicen que el pantano está atestado de criaturas horribles."" -Niño de la abadía"
Renacer en rabiademencia,73,I,Ritual,,,Muerte,5,,,"Luciano Comizzo","Pon el aliado objetivo de tu inferno en juego. Si hay Thanatos, tiene la habilidad de furia hasta el final del turno.","""Carne podrida, rabia y nada que perder. Ejército ideal."" -Unwaj"
Secuestradores de la abadía,74,C,Aliado,,Humano,Muerte,5,4,4,Roberto Viacava,"Cuando Secuestradores de la abadía entre en juego, si hay Thanatos, pon el aliado objetivo en la mano de su demonio.","""Aguarden un momento… esta neblina verde nos ayudará a ofuscarnos."""
Segregavida,75,R,Aliado,,Ghoul,Muerte,5,3,2,"Luciano Comizzo","Golpe de gracia - Pon en juego una ficha de aliado {muerte} Ghoul FUE 3, RES 2, con esta habilidad.","Un último aliento, nacimiento de cientos más."
Silla de la verdad,76,I,Objeto,,,Muerte,2,,,Pablo Gorigoitia - Nicolás Fernández,Girar: El vampiro objetivo obtiene -1 FUE y -1 RES hasta el final del turno.,"""Mi señor, hemos encontrado un método para hacerlos hablar."" -Soldado de Gothika"
Transmisión de dolor,77,C,Ritual,,,Muerte,1,,,Sara Villegas,Mueve 2 contadores de daño de un aliado objetivo a otro aliado objetivo.,"""¿Puedes dejar de gritar? ¡No puedo seguir torturando con tanto ruido!"" -Mike"
Vampiro fisgón,78,C,Aliado,,Vampiro,Muerte,3,2,2,Fabián Alberto Gonzalez,Thanatos. Evasivo.,Imposibles de percibir entre las ruinas góticas de la abadía.
Vampiro sangreastucia,79,I,Aliado,,Vampiro,Muerte,2,1,2,Alberto Aprea,{2}: El vampiro objetivo tiene la habilidad de evasivo hasta el final del turno.,"Bendice a sus hermanos, con el don de la oscuridad."
Abrigo de la enramada,80,R,Arma,,,Poder,3,1,,Nicolás Fernández,"Siempre que el aliado equipado haga daño de combate, pon en juego esa misma cantidad de fichas de aliado {poder} Planta Fue 0, Res 1.",La enramada crece con cada gota derramada.
Anhelo de Lapátt,81,R,Ritual,,,Poder,2,,,Sara Villegas,"Mira la mano del demonio objetivo y elige una carta. Luego ese demonio descarta esa carta. Si no hay Thanatos, descarta una carta.",Lapátt deseó el arte de la coacción. Ubanna le arrebató sus opciones.
"Arandu, mentor de la manada",82,E,Aliado,Único,Barahai,Poder,4,2,2,Luciano Fleitas,Tus aliados obtienen +2 RES.,Los barahai cambian su nombre al convertirse en adultos. Arandu designa título a sus hermanos guerreros y chamanes.
Arroyo de sangre dulce,83,R,Escenario,,,Poder,0,,,Nicolás Fernández,Los vampiros tienen la habilidad de agresor.,
Barahai de Amur,84,I,Aliado,,Barahai,Poder,2,2,3,Gastón Zubeldia,,
Barahai hambriento,85,C,Aliado,,Barahai Vampiro,Poder,1,1,1,Guillermo Villarreal,,
Barahai heroico,86,C,Aliado,Instantáneo,Barahai,Poder,6,4,4,Damián Graff,"Cuando Barahai heroico entre en juego, el aliado objetivo obtiene +2 FUE.","""¿Creías que iba a ser una batalla sencilla?"""
Barahai mártir,87,R,Aliado,,Barahai,Poder,2,1,1,Alberto Aprea,"Siempre que un aliado o demonio que controles sea objetivo de un ritual, puedes hacer que Barahai mártir sea su nuevo objetivo.","""Proteger a mis hermanos, para redimir mis errores."""
Caminante robusto,88,C,Aliado,,Vampiro,Poder,4,4,3,"Lizzo",Thanatos. Vínculo {0} - Tu demonio obtiene +1 FUE hasta el final del turno.,Aberraciones a la espera de un bocado de carne fresca.
Cascada natural,89,R,Objeto,,,Poder,5,,,Sara Villegas,"{5}, girar: Pon en juego un aliado de tu mano.",
Celeridad,90,C,Ritual,Instantáneo,,Poder,1,,,Brian Miroglio - Franco Riesco,El próximo aliado que juegues este turno puedes jugarlo como si tuviera instantáneo.,"""Nunca seremos la presa de ningún cazador. Demostremos a estos parásitos de lo que los puros somos capaces."" - Barahai alfa"
Crepúsculo matutino,91,C,Ritual,Instantáneo,,Poder,3,,,Darío Reyes,Los vampiros no pueden atacar este turno.,"""No están brillando; es en realidad su piel en llamas. Un espectáculo maravilloso."" -Caminante crepuscular"
Desarrollo vampírico,92,C,Ritual,,,Poder,2,,,Luciano Fleitas,El vampiro objetivo obtiene +4 FUE hasta el final del turno.,"""Sígueme pequeño. Esto es sólo una muestra de mi gran poder."" - Lapátt"
Desgranar,93,C,Ritual,Instantáneo,,Poder,2,,,Emmanuel Bou,"Toma una carta. Si hay Thanatos, destruye el objeto objetivo.","""No puedo evitarlo. Produzco ese efecto en los débiles."" -Ubanna"
Elemental de la enramada,94,E,Aliado,,Elemental,Poder,7,3,3,"Mariano Luengo","Cuando Elemental de la enramada entre en juego, puedes mirar tus recursos y elegir una carta que no sea de ritual, Si lo haces, ponla en juego bajo tu control.","Despierta a los robles dormidos, que lo acompañarán en su travesía."
Ghoul juiciodemencia,95,C,Aliado,,Ghoul,Poder,1,2,1,Germán Nóbile,"Halo. Si no hay Thanatos, destruye Ghoul juiciodemencia.",Cordura y demencia en perfecta y delicada armonía.
Gusano Titán,96,C,Aliado,,Gusano,Poder,5,6,4,Paulo Barrios,,
Hermana atormentada,97,C,Aliado,,Humano,Poder,2,1,1,Nicolás Fernández,Destruir Hermana atormentada: No hay Thanatos hasta el final del turno.,"""Siempre supe que mi destino era diferente al de mis hermanos. Es hora de mostrar mi valor."""
Infectarroyos,98,I,Aliado,,Abominación,Poder,8,8,8,Alberto Aprea,Thanatos.,Existen tormentos mucho mayores que en un par de colmillos hambrientos.
Puñal lucánido,99,I,Arma,,,Poder,2,1,0,Sara Villegas,Prevén todo el daño que se le fuera a hacer al aliado objetivo si su fuente es un vampiro.,
Refuerzo demencial,100,I,Ritual,Instantáneo,,Poder,1,,,Alejandro Machado - Nicolás Fernández,"El aliado objetivo obtiene +1 FUE hasta el final del turno. Si hay Thanatos, en vez de eso, ese aliado obtiene +3 FUE.","Cuando vieron a la bestia crecer de manera aterradora, comprendieron que no había sido una buena idea."
Regeneración de corteza,101,C,Ritual,Instantáneo,,Poder,2,,,Manuela Mauregui,Remueve todos los contadores de daño sobre el aliado objetivo. Recobrar {1}.,"""Madre cuida de los pequeños indefensos, y fortalece a los fuertes y valientes."" -Dämonin"
Vampiro sangrecoraje,102,I,Aliado,,Vampiro,Poder,2,0,4,Fernando Heinz Furukawa - Rocio Zucchi,{2}: El vampiro objetivo tiene la habilidad de agresor hasta el final del turno.,"""Imposible evitarlos. ¡Están por todos lados!"" -Guardia de Trion"
Vara de esencia letal,103,C,Objeto,,,Poder,2,,,Tomás Aira,Destruir Vara de esencia letal: Destruye el aliado con al menos un contador de daño sobre él.,"""Madre guiará tu camino hacia el inferno. Ahora descansa."""
Vivificar,104,I,Ritual,,,Poder,2,,,Esteban Campos Millapel,Toma la primera carta de tu mazo y ponla en juego girada como recurso.,"""Madre reclama lo que por origen nos pertenece."" -Dämonin"
Convertir a cenizas,105,C,Ritual,Instantáneo,,Neutral,4,,,Hans Lobos,Pon la carta objetivo que no sea recurso en la mano de su demonio. Recobrar {3}.,
Cuchilla guardiana,106,I,Arma,,,Neutral,2,1,1,Darío Reyes,Thanatos. El aliado equipado tiene la habilidad de protector.,
Daga de sangre vital,107,C,Arma,,,Neutral,2,1,0,Esteban Campos Millapel,Thanatos. Golpe de gracia - Remueve un contador de daño sobre el aliado equipado.,
Defensora del arco,108,C,Aliado,,Humano,Neutral,3,1,4,Sara Villegas,Protector.,
Elemental rocaígnea,109,C,Aliado,,Elemental,Neutral,4,4,4,"Lizzo",,
Estrangular,110,C,Ritual,Instantáneo,,Neutral,1,,,Fabián Alberto Gonzalez,Tu demonio hace 3 puntos de daño al aliado atacante objetivo.,
Frontera olvidada,111,R,Escenario,,,Neutral,0,,,Felipe Araya,No pueden jugarse escenarios.,"""No, amigo mío; de la frontera no hay retorno."" -Errante sabio"
Fundir el metal,112,C,Ritual,,,Neutral,2,,,Darío Reyes,Pon el objeto o arma objetivo en la parte inferior del mazo de su demonio.,
Jardín de los desaparecidos,113,E,Escenario,,,Neutral,0,,,Emmanuel Bou,Jugar aliados cuesta {1} menos.,"Cuenta la leyenda, sobre un paraíso que los demonios nunca corrompieron. Un lugar donde las criaturas viven libremente y la vegetación florece sin límites."
Niño vampiro,114,I,Aliado,Ilimitado,Vampiro,Neutral,2,0,1,Emmanuel Bou,Niño vampiro obtiene +1 FUE por cada otro Niño vampiro en juego.,"""La humanidad es la enfermedad de este mundo y nosotros somos la cura. Mientras más doloroso el proceso, ¡mucho mejor!"" -Mike"
Portal demencial,115,R,Objeto,,,Neutral,4,,,Guillermo Villarreal,"Thanatos. {2}, girar: Pon en juego una ficha de aliado Vampiro FUE 1, RES 1 con la habilidad de furia.",
Susurro de Ubanna,116,I,Ritual,Instantáneo,,Neutral,2,,,Sergio Tarquini - Germán Nóbile,"Toma una carta. Si hay Thanatos, previene todo el daño que el demonio enemigo objetivo fuese a hacer o recibir este turno.","""No te preocupes. No puede lastimarnos."" -Ubanna"
Vampiro atento,117,C,Aliado,,Vampiro,Neutral,2,1,1,Verónica Vallejos,Thanatos. Vínculo {0} - El aliado objetivo es un vampiro además de sus otros tipos.,
Vampiro sepulturero,118,E,Aliado,,Vampiro,Neutral,1,1,1,Felipe Araya,"Girar, exiliar un aliado de tu inferno: Busca en tu mazo un aliado y ponlo en tu inferno. Luego mezcla tu mazo.",
Vampiro tirador,119,I,Aliado,,Vampiro,Neutral,2,1,1,"Mariano Luengo",Thanatos. Destruir Vampiro tirador: Destruye el arma objetivo.,
Veterano de la muralla,120,C,Aliado,,Humano,Neutral,2,2,2,Roberto Viacava,,
"Ficha Caos Vampiro 1/1",121,C,Aliado,,Vampiro,Caos,,1,1,"Lizzo",,
"Ficha Muerte Ghoul 3/2 Golpe de gracia",122,C,Aliado,,Ghoul,Muerte,,3,2,Germán Nóbile,"Golpe de gracia - Pon en juego una ficha de aliado {muerte} Ghoul FUE 3, RES 2 con esta habilidad.",
"Ficha Poder Planta 0/1",123,C,Aliado,,Planta,Poder,,0,1,Juan Manuel Tumburus,,
"Ficha Neutral Vampiro 1/1 Furia",124,C,Aliado,,Vampiro,Neutral,,1,1,Hans Lobos,Furia.,
