Nombre,N°,Rareza,Tipo,Supertipo,Subtipo,Senda,Coste,FUE,RES,Arte,Habilidades,Texto de ambientación
Deformidad kirch,20,E,Aliado,Único,Encarnación,Caos,7,3,3,Gastón Real Lopez - Franco Riesco,Furia. Deformidad kirch obtiene +1 FUE por cada Kirch que controles y +1 RES por cada Kirch en tu Inferno.,Sus rugidos penetran hasta lo profundo de las cavernas.
Desgracia doble,21,C,Ritual ,,,Caos,3,,,Gastón Real Lopez - Santiago Calleriza,El demonio objetivo destruye una carta que controla. Recobrar 3.,"""¿Tu vida o la de tu pueblo? Más tarde volveré por la otra."" -Narghot"
Estratega nungnarh,22,R,Aliado,,Humano,Caos,4,3,3,Damián Graff,"Siempre que un Kirch que controles ataque a un aliado, destruye ese Kirch. Estratega nungnarh hace 3 daño al aliado defensor.","""Kirchs y explosivos. ¿Existe una mejor combinación?"""
Forjadores del horno cenizo,23,R,Aliado,,Humano,Caos,5,5,3,Alejandro Machado - Santiago Calleriza,"Cuando Forjadores del horno cenizo entre en juego, busca en tu mazo un arma, muéstrala, y ponla en tu mano. Luego mezcla tu mazo.",El calor del horno cenizo es comparable solo con el mismísimo Inferno.
Gemelos kirch,24,I,Ritual,,,Caos,3,,,Sergio Tarquini - Nicolás Fernández,"Pon dos fichas de aliado caos Kirch 1 FUE, 1 RES en juego. Recobrar 3.","""Miz preziozoz hijoz… Azerquenze a mi."" -Syv"
Guarda jaulas nungnarh,25,R,Aliado,,Humano,Caos,4,0,2,Alejandro Machado - Nicolás Fernández,"Agresor. Cuando Guarda jaulas nungnarh vaya al Inferno desde el juego, pon una ficha de aliado caos Kirch 1 FUE, 1 RES en juego por cada daño recibido.",Thakr ni siquiera tuvo tiempo para preguntarse cómo se habían abierto las jaulas.
Gusano del gran desierto,26,E,Aliado,,Elemental,Caos,8,6,6,Gastón Real Lopez - Santiago Calleriza,"Cuando Gusano del gran desierto entre en juego, hace 3 daño a todos los aliados.","""Ten cuidado, o las arenas del Gran desierto te tragarán."" Refrán Nungnarh"
Hacha de largo alcance,27,I,Arma,Instantáneo,,Caos,3,2,0,Edgard Machiavello,"Cuando el aliado equipado destruya un aliado, tu demonio hace 1 daño al demonio objetivo.",La ingeniería Nungnarh es increíblemente creativa.
Ignición,28,C,Ritual,Instantáneo,,Caos,1,,,Gastón Real Lopez - Franco Riesco,Tu demonio hace 2 daño al aliado o demonio objetivo.,"""Solo los que entienden la melodía del fuego, pueden disfrutar realmente del espectáculo."" -Akayra."
Instrumentos quirúrgicos,29,I,Objeto,,,Caos,1,,,Edgard Machiavello,Destruir Instrumentos quirúrgicos: Pon el Kirch objetivo de tu Inferno en tu mano.,Ocasionalmente son herramientas de cocina y juguetes para niños.
Kirch corazón de llama,30,C,Aliado,,Kirch,Caos,4,3,1,Gastón Real Lopez - Santiago Calleriza,Destruir Kirch corazón de llama: Kirch corazón de llama hace 3 daño al aliado objetivo.,"Nadie ha visto uno de cerca. Al menos, nadie vivió para contarlo."
Kirch entrenado,31,C,Aliado,,Kirch,Caos,2,1,2,Edgard Machiavello,"X, destruir Kirch entrenado: Destruye el arma objetivo de coste X.","""Nunca vuelven a recibir otra orden."" Broma Nungnarh"
Kirch escupefuego,32,C,Aliado,,Kirch,Caos,1,1,1,Leonardo Vallejos - Nicolás Fernández,Girar: Kirch escupefuego hace 1 daño al aliado objetivo.,"""Tostado. Justo como me gusta."" -Akayra"
Kirch rabioso,33,C,Aliado,,Kirch,Caos,2,2,1,Felipe Araya,"Furia. 2, destruir Kirch rabioso: El aliado objetivo obtiene furia hasta el final del turno.",La rabia acumulada en su espíritu perdura aún después de la muerte.
Lluvia de lanzas,34,C,Ritual,Instantáneo,,Caos,3,,,Fabián Mayta Aguilar,Tu demonio hace 1 daño al aliado objetivo por cada aliado que controles.,Los guerreros Nungnarh juegan a ver cuan lejos puede llegar el prisionero.
Sirena de voz pícara,35,R,Aliado,Único,Súcubo,Caos,5,4,4,Nicolás Fernández,"Cuando Sirena de voz pícara entre en juego, equípale todas las armas.","""Hoy es mi día."""
Terremoto,36,I,Ritual,,,Caos,3,,,Fabián Mayta Aguilar,Cada enemigo destruye un recurso que controla. Toma una carta.,"""¿Dónde te esconderás, cuando extermine toda tierra conocida?"" -Narghot"
Tormenta de fuego,37,C,Ritual,Instantáneo,,Caos,2,,,Fabián Mayta Aguilar,Destruye el escenario objetivo. Tu demonio hace 2 daño a su controlador.,"""Alguna vez fue un hermoso poblado."" -Narghot"
Torre de lava,38,R,Objeto,,,Caos,3,,,MeKenzie Martin,"Cuando un Kirch entre en juego bajo tu control, Torre de lava hace 1 daño al aliado objetivo.",El corazón de la Cordillera de fuego no es un lugar muy visitado.
Adelantarse a los hechos,39,C,Ritual,Instantáneo,,Locura,1,,,MeKenzie Martin,Mira las primeras cinco cartas de tu mazo. Luego regrésalas en cualquier orden. Recobrar 1.,"""No dejes para mañana lo que puedes hacer ayer."" -Viden"
Adivinador cyborg,40,C,Aliado,Instantáneo,Cyborg,Locura,2,1,2,Gastón Real Lopez - Nicolás Fernández,"Cuando Adivinador cyborg entre en juego, mira las primeras tres cartas de tu mazo. Luego regrésalas en cualquier orden.","""Tienen una divertida manera de controlar su tiempo."" -Ingeniero de la Esfera de cristal"
Asediar la mente,41,E,Ritual,,,Locura,4,,,Brian Miroglio,El demonio objetivo descarta 1 carta por cada Cyborg que controles.,"""¡Me cansé de estas tonterías, extermínenlos!"" -Baggrund."
Bibliotecarios del éter,42,R,Aliado,,Humano,Locura,5,3,5,Alejandro Machado - Santiago Calleriza,"Cuando Bibliotecarios del éter entre en juego, busca en tu mazo un ritual, muéstralo, y ponlo en tu mano. Luego mezcla tu mazo.","""No existe un problema que no tenga solución."""
Buscador de recuerdos perdidos,43,C,Aliado,,Humano,Locura,2,1,3,Gastón Real Lopez - Franco Riesco,Vínculo 0: Pon el ritual objetivo de coste 3 o menos de tu Inferno en tu mano.,"""Hay recuerdos que nunca deberían recordarse."""
Cambio de planes,44,R,Ritual,Instantáneo,,Locura,5,,,Julián Nóbile - Germán Nóbile,Cambia el/los objetivo/s del ritual o habilidad objetivo.,"""Muchas gracias. ¡Justo lo que necesitaba!"" -Ubanna"
Caminante esfera de cristal,45,I,Aliado,,Humano,Locura,3,2,3,Brian Miroglio,Vínculo 0: Cada enemigo descarta una carta.,Atrás quedaron los días donde los caminantes viajaban largas distancias por nuevas noticias.
Conocimiento demoníaco,46,I,Ritual,,,Locura,3,,,Sara Villegas,Toma dos cartas. Recobrar 3.,"""¿Cuánta información puede tu débil cerebro manejar?"" -Baggrund."
Cyborg astuto,47,C,Aliado,,Cyborg,Locura,2,2,1,Nicolás Fernández,"Halo. 2, destruir Cyborg astuto: El aliado objetivo obtiene halo hasta el final del turno.",Están diseñados para no ser un problema.
Cyborg de piel transparente,48,I,Aliado,,Cyborg,Locura,4,3,2,Fabián Mayta Aguilar,Evasivo.,"""¿Nunca te preguntaste por qué los líderes están siempre bien informados?"" -Guardia de la Esfera de cristal"
Cyborg reemplazable,49,C,Aliado,,Cyborg,Locura,2,1,2,Nicolás Fernández,"X, destruir Cyborg reemplazable: Cancela el aliado objetivo de coste X.","""Buen diseño, rápido y efectivo. Lástima su corta vida útil."" -Ingeniero de la Esfera de cristal."
Cyborg robaesencia,50,R,Aliado,Instantáneo,Cyborg,Locura,4,2,2,Fabián Mayta Aguilar,"Cuando Cyborg robaesencia entre en juego, cancela el aliado objetivo.",Prefiere el sabor del alma antes que la carne.
Deformidad cyborg,51,E,Aliado,Único,Encarnación,Locura,6,4,4,Gastón Real Lopez - Santiago Calleriza,Halo. Deformidad cyborg obtiene +1 FUE por cada Cyborg que controles y +1 RES por cada Cyborg en tu Inferno.,"Tiene vida, inteligencia y voluntad propia."
Despistar al oponente,52,I,Ritual,Instantáneo,,Locura,2,,,Alejandro Machado - Nicolás Fernández,Gira el aliado objetivo. Toma una carta.,"""Si algo te molesta, envía un soldado cyborg."" Broma entre guardianes"
Extensiones metálicas,53,R,Ritual,Instantáneo,,Locura,4,,,Nicolás Fernández,Todos tus aliados obtienen halo hasta el final del turno. Vínculo 0: El aliado objetivo obtiene halo hasta el final del turno.,"Durante algunos instantes, la ciudad pareció más 'organizada' que de costumbre."
Fábrica de reciclaje mecánico,54,R,Objeto,,,Locura,3,,,Fabián Mayta Aguilar,"Todos tus aliados son Cyborg además de sus otras razas. Siempre que un Cyborg no-ficha que controles vaya a un Inferno desde el juego, pon una ficha de aliado locura Cyborg 1 FUE, 1 RES en juego con protector.","Lo bueno de estos artefactos, es que saben repararse solos."
Incapacitar,55,I,Ritual,Instantáneo,,Locura,1,,,Alejandro Machado - Santiago Calleriza,El aliado objetivo pierde todas sus habilidades hasta el final del turno. Recobrar 1.,"""Es muy fácil, solo apagas su corazón."" -Fáradt"
Nuevas ideas,56,C,Ritual,,,Locura,3,,,Fabián Mayta Aguilar,El demonio objetivo toma una carta por cada aliado que controle.,"""La mente de estos diminutos seres nunca deja de maravillarme."" -Viden"
Rifle de asalto inteligente,57,I,Arma,Instantáneo,,Locura,3,2,0,Edgard Machiavello,"Cuando el aliado equipado destruya un aliado, puedes tomar una carta.","No hace falta que sepas como usarlo, él te mostrará."
Robot autoensamblante,58,I,Objeto,,,Locura,1,,,Alejandro Machado - Santiago Calleriza,Destruir Robot autoensamblante: Pon el Cyborg objetivo de tu Inferno en tu mano.,"""Todo se transforma."" -Viden"
Silenciar,59,C,Ritual,,,Locura,2,,,Julián Nóbile - Germán Nóbile,Mira la mano del demonio objetivo y elige una carta. Ese demonio la descarta.,"""No te escucho. ¿Me hablabas a mí?"" -Baggrund"
Sirena de voz dulce,60,R,Aliado,Único,Súcubo,Locura,7,2,4,Julián Nóbile - Germán Nóbile,"Halo. Cuando Sirena de voz dulce entre en juego, elige un aliado objetivo. Mientras Sirena de voz dulce este en juego, ganas el control de ese aliado.","""¿Por qué obedecer a los demonios? Yo puedo darte lo que necesitas."""
Soldado cyborg,61,I,Aliado,,Cyborg,Locura,3,2,2,Alejandro Machado - Nicolás Fernández,Girar: Gira el aliado objetivo.,"Eficientes modelos de combate, los soldados cyborg pueden aturdir a sus enemigos mucho antes de ser vistos."
Suprimir,62,C,Ritual,Instantáneo,,Locura,3,,,Nicolás Fernández,Cancela la carta objetivo.,Cancela la carta objetivo.
Tejedora de mentiras,63,C,Aliado,,Humano,Locura,3,2,2,Damián Graff,"Cuando Tejedora de mentiras entre en juego, cada enemigo descarta una carta.","""Aunque saben que estoy mintiendo, no pueden evitar creerme."""
Vigilante del cielo,64,C,Aliado,,Humano,Locura,1,1,1,Tomás Aira,Girar: Mira la primer carta de tu mazo. Puedes ponerla en la parte superior o en el fondo de tu mazo.,Conocen la Esfera de cristal mejor que ella misma.
Acechadora nocturna,65,C,Aliado,,Humano,Muerte,1,1,1,Fernando Morales - Nicolás Fernández,Evasivo.,Algunos dicen que viajan a través de nuestras sombras.
Alas de sangre,66,I,Ritual,,,Muerte,2,,,Nicolás Fernández,El aliado objetivo que controles obtiene +2 FUE. Destrúyelo al final del turno. Recobrar 2.,"""Fuiste de gran ayuda pequeño, ahora descansa."" -Unwaj"
Altar de expiación,67,I,Objeto,,,Muerte,1,,,Gastón Real Lopez - Santiago Calleriza,Destruir Altar de expiación: Pon el Diablo objetivo de tu Inferno en tu mano.,"""Que esté enterrado no significa que esté muerto."" -Unwaj"
Asesina daga de marfil,68,I,Aliado,,Humano,Muerte,3,2,2,Verónica Vallejos,Girar: Destruye el aliado objetivo girado.,"""¡No te muevas! Ya nos ha visto…"" -Transeúntes entrometidos"
Buscador de materia perdida,69,C,Aliado,,Humano,Muerte,2,1,3,Brian Miroglio,Vínculo 0: Pon la carta objetivo de coste 2 o menos de tu Inferno en tu mano.,"Buscan en el Inferno, lo que necesitan en la Tierra."
Caminante gothika,70,I,Aliado,,Humano,Muerte,3,2,3,Gastón Real Lopez - Franco Riesco,Vínculo 0: Cada enemigo pone un aliado que controle en la mano de su demonio.,Saben diferenciar las criaturas de las sombras.
Cuchillo de rito,71,I,Aliado,Instantáneo,,Muerte,3,2,0,Edgard Machiavello,"Cuando el aliado equipado destruya un aliado, puedes exiliar la carta objetivo de un Inferno.",Ayuda a las criaturas en su camino al olvido eterno.
Deformidad diablo,72,E,Aliado,Único,Encarnación,Muerte,7,4,2,Gastón Real Lopez - Franco Riesco,Evasivo. Deformidad Diablo obtiene +1 FUE por cada Diablo que controles y +1 RES por cada Diablo en tu Inferno.,
Diablo de dos cabezas,73,R,Aliado,,Diablo,Muerte,5,3,4,Felipe Araya,"Cuando Diablo de dos cabezas destruya un aliado, enderézalo.",Dos cabezas se alimentan más que una.
Diablo de siete manos,74,C,Aliado,,Diablo,Muerte,2,1,2,Edgard Machiavello,"X, destruir Diablo de siete manos: Destruye el aliado objetivo de coste X.","""Hermosa creación, pero muy frágil. Deberé esforzarme más."" -Monje iniciado"
Diablo intocable,75,C,Aliado,,Diablo,Muerte,6,5,5,Gastón Real Lopez - Santiago Calleriza,Halo.,
Diablo oportuno,76,C,Aliado,Instantáneo,Diablo,Muerte,3,2,3,Sergio Tarquini - Santiago Calleriza,"Cuando Diablo oportuno entre en juego, exilia la carta objetivo de un Inferno.","""Disfruto ver como mis creaciones causan dolor."" -At Fjerne"
Diablo vulnerable,77,I,Aliado,,Diablo,Muerte,4,5,5,Adrián Zotto,"Cuando Diablo vulnerable sea objetivo de una carta, destrúyelo.","""Algunas veces me decepcionas."" -Naamah"
Extenuar,78,C,Ritual,Instantáneo,,Muerte,1,,,Fabián Mayta Aguilar,La FUE del aliado objetivo es 0 hasta el final del turno.,"""Te veo algo cansado…"" -Naamah"
Festival de vida nueva,79,E,Ritual,,,Muerte,4,,,Gastón Real Lopez - Franco Riesco,"Destruye todos los aliados. Cada demonio pone una ficha de aliado muerte Diablo 2 FUE, 2 RES en juego por cada aliado que controlaba destruído de esta manera.","""Es mejor quedarse en casa."" Dicho de Gothika"
Fisura,80,I,Ritual,Instantáneo,,Muerte,2,,,Gastón Real Lopez - Santiago Calleriza,Exilia la carta objetivo de un Inferno. Toma una carta.,
Gárgola diablo,81,C,Aliado,,Diablo,Muerte,2,2,1,Fernando Morales - Nicolás Fernández,"Evasivo. 2, destruir Gárgola diablo: El aliado objetivo obtiene evasivo hasta el final del turno.","""Vigilantes nocturnos, protejan nuestro majestuoso legado."" -Unwaj"
Monjes de pergamino,82,R,Aliado,,Humano,Muerte,5,4,4,Alejandro Machado - Santiago Calleriza,"Cuando Monjes de pergamino entre en juego, busca en tu mazo una carta y ponla en tu Inferno. Luego mezcla tu mazo.","""Ya nos servirás luego..."""
Papiro de reanimación,83,R,Objeto,,,Muerte,4,,,Gastón Real Lopez - Santiago Calleriza,"En tu Restauración, puedes exiliar un aliado de tu Inferno. Si lo haces, pon una ficha de aliado (MUERTE) Diablo 2 FUE, 2 RES en juego.",
Peste negra,84,R,Ritual,,,Muerte,5,,,Fabián Mayta Aguilar,Tu demonio hace 2 daño al demonio objetivo por cada aliado que ese demonio controle. Vínculo 0: Tu demonio hace 2 daño a cada demonio.,El olor a muerte inundó Gothika.
Petrificar,85,C,Ritual,Instantáneo,,Muerte,3,,,Fabián Mayta Aguilar,Destruye el aliado objetivo.,"""Los muertos huelen horrible. Es preferible otra estatua en la plaza de piedra."" -Monje superior"
Retroceder un instante,86,C,Ritual,,,Muerte,2,,,Fabián Mayta Aguilar,Pon el aliado objetivo en la mano de su propietario. Recobrar 2.,"""No eres bienvenido aquí."" -Naamah"
Ruptura infernal,87,R,Ritual,,,Muerte,4,,,Julián Nóbile - Germán Nóbile,Exilia el Inferno del demonio objetivo.,
Sacrificio nocturno,88,C,Ritual,,,Muerte,2,,,Julián Nóbile - Germán Nóbile,Cada demonio destruye un aliado que controle.,Las mujeres más bellas a menudo realizan los ritos más crueles.
Sirena de voz agonizante,89,R,Aliado,Único,Súcubo,Muerte,8,3,5,Nicolás Fernández,"Cuando Sirena de voz agonizante entre en juego, pon los demás aliados en la mano de sus demonios.","""Qué lindos, me encanta cómo se arrodillan…"""
Volver a la vida,90,I,Ritual,,,Muerte,4,,,Sergio Tarquini - Franco Riesco,Pon el aliado objetivo de tu Inferno en juego. Recobrar 4.,"""Esta es tu segunda oportunidad… Tu oportunidad de obedecerme."" -Unwaj"
Afilar las garras,91,R,Ritual,,,Poder,5,,,Julián Nóbile - Germán Nóbile,Tus aliados obtienen +2 FUE hasta el final del turno.,"""Cada ser posee una definición propia de justicia."" -Seguidor de Arasunu"
Barahai alfa,92,E,Aliado,,Barahai,Poder,8,7,7,Julián Nóbile - Germán Nóbile,"Cuando Barahai alfa ataca, pon dos fichas de aliado poder Barahai 3 FUE, 3 RES en juego.",Sus hermanos lo seguirían hasta el exilio eterno.
Barahai curioso,93,C,Aliado,,Barahai,Poder,2,1,2,Edgard Machiavello,"X, destruir Barahai curioso: Destruye el objeto objetivo de coste X.","""¿Me pregunto qué…?"""
Barahai leonino,94,I,Aliado,,Barahai,Poder,4,4,1,Gastón Real Lopez - Nicolás Fernández,Furia.,"Aunque su rugido se escuche a varios kilómetros de distancia, seguramente ya es demasiado tarde."
Barahai temerario,95,C,Aliado,,Barahai,Poder,1,1,1,Damián Graff,Furia.,Primero en defender sus dominios.
Barahai valiente,96,C,Aliado,,Barahai,Poder,2,2,1,Sergio Tarquini - Santiago Calleriza,"Agresor. 2, destruir Barahai valiente: El aliado objetivo obtiene agresor hasta el final del turno.",Su coraje inspiró a los demás.
Buscador de vida perdida,97,C,Aliado,,Humano,Poder,2,2,1,Brian Miroglio,Vínculo 0: Pon el aliado objetivo de coste 3 o menos de tu Inferno en tu mano.,La vida en el Inferno tiene sus diferencias.
Caminante estanque de rocío,98,I,Aliado,,Humano,Poder,3,2,3,Gastón Real Lopez - Franco Riesco,Vínculo 0: Mezcla hasta tres cartas objetivo de tu Inferno en tu mazo.,"""Todavía hay tiempo de sanar nuestros errores."""
Cazadores del bosque,99,R,Aliado,,Humano,Poder,5,4,4,Alejandro Machado - Santiago Calleriza,"Cuando Cazadores del bosque entre en juego, busca en tu mazo un aliado, muéstralo, y ponlo en tu mano. Luego mezcla tu mazo.",El Bosque de los primeros hijos esta lleno de oportunidades.
Chamán barahai,100,C,Aliado,,Barahai,Poder,3,1,2,Fabián Mayta Aguilar,"Cuando Chamán barahai entre en juego, el aliado objetivo obtiene +2 FUE hasta el final del turno.","""Mi fuerza es ahora de mis hermanos."""
Coraje repentino,101,C,Ritual,Instantáneo,,Poder,1,,,Santiago Calleriza,El aliado objetivo obtiene agresor hasta el final del turno.,"""Eres la clave. ¡Enorgulléceme!"" -Lapátt"
Corteza del renacimiento,102,I,Objeto,,,Poder,1,,,Alejandro Machado - Santiago Calleriza,Destruir Corteza del renacimiento: Pon el Barahai objetivo de tu Inferno en tu mano.,"El poder de los barahai nutre al bosque, como el bosque nutre a los barahai."
Cuchillas sagradas,103,I,Aliado,Instantáneo,,Poder,3,2,0,Edgard Machiavello,"Cuando el aliado equipado destruya un aliado, puedes mezclar la carta objetivo de tu Inferno en tu mazo.","La sangre que gotea de sus hojas, hace florecer incluso a los árboles secos."
Deformidad barahai,104,E,Aliado,Único,Encarnación,Poder,6,2,4,Gastón Real Lopez - Santiago Calleriza,Agresor. Deformidad barahai obtiene +1 FUE por cada Barahai que controles y +1 RES por cada Barahai en tu Inferno.,
Fallecimiento fortuito,105,C,Ritual,,,Poder,1,,,Sara Villegas,"Destruye el aliado de menor RES (Si hay varios aliados con la menor RES, elige uno).","""Si no conoces el camino, no te aventures en el Bosque de los primeros hijos."" Dicho barahai"
Fuerza del bosque,106,C,Ritual,Instantáneo,,Poder,2,,,Alejandro Machado - Nicolás Fernández,El aliado objetivo obtiene +3 FUE hasta el final del turno.,"""¡Siente mi poder en tus garras!"" -Arasunu"
Hermano montado,107,I,Aliado,,Humano,Poder,3,2,2,Damián Graff,"Cuando Hermano montado ataca, obtiene +1 FUE por cada otro aliado que controlas hasta el final del turno.","La fuerza del bosque lo inspira, y las bestias luchan a su lado."
Hermanos acorralados,108,C,Aliado,,Humano,Poder,3,3,2,Gastón Real Lopez - Franco Riesco,Agresor.,"""Nara, no temas. Nuestra hora ha llegado. Los niños cantarán por siempre la canción, donde los Hermanos de la tierra protegieron su tribu."""
Primogénito del bosque,109,R,Aliado,,Elemental,Poder,7,X,X,Fabián Mayta Aguilar,La FUE y RES de Primogénito del bosque es igual al número de recursos que controlas.,Por su savia recorre la historia de la tierra que una vez existió.
Protector eterno,110,R,Aliado,,Bestia,Poder,9,11,11,Julián Nóbile - Germán Nóbile,,
Raíces del árbol sagrado,111,R,Objeto,,,Poder,2,,,Nicolás Fernández,"3, girar: Pon una ficha de aliado poder Barahai 3 FUE, 3 RES en juego.","Los barahai nacidos en este lugar sagrado, son bendecidos por la tierra en batalla."
Rito de florecimiento,112,C,Ritual,,,Poder,2,,,Fabián Mayta Aguilar,Agrega 3 energía. Recobrar 2.,"""¿Escuchas el sonido de su despertar?"" -Zustatek"
Runas de crecimiento ,113,I,Ritual,,,Poder,1,,,Gastón Real Lopez - Franco Riesco,El aliado objetivo obtiene +1 FUE por cada aliado que controles hasta el final del turno.,Su fuerza es colectiva.
Sirena de voz salvaje,114,R,Aliado,Único,Súcubo,Poder,4,3,3,Gastón Zubeldia,Girar: El aliado objetivo obtiene +3 FUE hasta el final del turno.,"""Dicen que su voz llena de coraje hasta los árboles dormidos."" -Hermano chamán"
Tranquilidad,115,I,Ritual,Instantáneo,,Poder,3,,,Nicolás Fernández,No se puede atacar a aliados este turno. Recobrar 3.,"""No permitiré que lastimes mis adoradas bestias."" -Arasunu"
Vendaje eficiente,116,I,Ritual,Instantáneo,,Poder,2,,,Leonardo Vallejos - Nicolás Fernández,Remueve todo el daño del aliado objetivo. Toma una carta.,Los hermanos de la tierra han aprendido a tratar sus heridas tanto como afilar sus espadas.
Alterar el destino,117,I,Ritual,Instantáneo,,Neutral,1,,,Fernando Morales - Nicolás Fernández,Busca en tu mazo una carta con vínculo y muéstrala. Luego mezcla tu mazo y pon esa carta en la parte superior. Recobrar 1.,"Cuando aprendes a controlar el futuro, nada puede sorprenderte."
Amaru,118,C,Aliado,,Abominación,Neutral,7,7,7,Fabián Mayta Aguilar,,
Aniquilar,119,R,Ritual,,,Neutral,5,,,Fabián Mayta Aguilar,Destruye la carta objetivo.,"Perplejos los caminantes observaron, cómo todo lo que conocían se reducía a escombros."
Arrasar las ruinas,120,C,Ritual ,,,Neutral,1,,,Sara Villegas,Exilia hasta tres cartas objetivo de un Inferno.,"""Esta civilización nunca existió."" -At Fjerne"
Báculo relámpago,121,I,Objeto,,,Neutral,2,,,Fabián Alberto Gonzalez,Girar: Tu demonio hace 1 daño al demonio objetivo.,Solo el báculo se escucha entre las ruinas de la antigua citadela.
Bestia cola de luz,122,C,Aliado,Instantáneo,Bestia,Neutral,3,2,2,Danilo García Medrano,Protector.,La luz que irradia su cola atrae a las presas curiosas.
Bosque de los primeros hijos,123,R,Escenario,,,Neutral,0,,,Nicolás Fernández,Los aliados obtienen +1 FUE cuando atacan hasta el final del turno.,"La magia del bosque se siente en cada hoja, en cada insecto, en cada brisa."
Botiquín médico,124,C,Objeto,,,Neutral,1,,,Fabián Alberto Gonzalez,Destruir Botiquín médico: Remueve todo el daño del aliado objetivo.,"""Toma el mío, lo necesitarás mas que yo."" -Últimas palabras del guía"
